"","Description.of.incident","Information.Source"
"5516","“We write to inform you that our practice discovered a data breach on May 27, 2016 that may have contained personal health information and have been investigating the exact nature and scope of the information obtained by the hackers since,” the letter reads. “To date, our investigation has determined that on May 4, 2016, a hacker, or hackers, likely gained access into our secured database system through a third party contractor and may have obtained some personal information of our patients including: names, addresses, social security numbers, date of births, diagnoses, lab results, other medical records, and potentially some financial information.""""On June 25, a hacker going by the name “thedarkoverlord” provided information to Deep Dot Web of a purported hacking of three different healthcare organizations – one originating from Farmington and containing 48,000 alleged patient records, according to the Deep Dot Web report.""This breach is one entity of the medical group that was hacked. More Information: http://dailyjournalonline.com/news/local/local-medical-group-involved-in...More Information: http://www.hipaajournal.com/farmington-medical-group-confirms-cyberattac...","Media"
"5517","""A health care revenue company says one of its employees looked at nearly two dozen patient records without authorization.Cardon Outreach does contract work for AnMed Health, and has employees on site at the hospital. AnMed said in a release that a Cardon Outreach employee opened 22 patient files without authorization, including her own file.Cardon Outreach fired the employee immediately after learning of the breach, according to the release.""More Information: http://www.wyff4.com/news/unauthorized-employee-accessed-hospital-patien...","Media"
"5518","""A Laurel clinic has issued a warning to a small group of their patients after a recent data breach of their systems. Jefferson Medical Associates issued a press release stating that privacy events may have compromised certain personal information. Continue reading >>""I find things that are publicly available on the internet that should probably not be public available,"" said Chris Vickery, a cyber security researcher who lives in Austin, Texas. ""Things like databases that have no password and are configured for public access. ""Vickery said he found a security flaw in a database of Jefferson Medical patient information.""I was just going through randomly looking at the publicly available, configured for public access databases on those ports, and this one showed up,"" he said. ""When I realized there social security numbers and names and phone numbers and prescription information, it dawned on me that 'hey this probably should not be public if it is real data.' So then I started the process of trying to figure out whose it was."" Jefferson Medical said Vickery was an unauthorized individual who shouldn't have had access to that information.""This information is private information,"" said Katie Gilchrist, Jefferson Medical's legal counsel. ""It's federally protected information. It's information that was on our server. This individual accessed it without our permission. He did in secret. There has never been a time when patient information in Jefferson Medical's possession has been just out there for anyone to get to.""Vickery agrees he shouldn't have had access and said that's why he alerted the clinic to the hole in its security.""It was as available as a website is,"" Vickery said.Gilchrist said, ""Basically it's like leaving a window unlocked in your house. You leave the house, and you leave a window unlocked. These folks out there think that entitles them to come into the house and look around at all your stuff and then take things with them when they leave. That's just not appropriate.""Vickery said this isn't a hack because the information was readily available to anyone who knewwhere to look.""There was nothing to hack,"" Vickery said. ""There simply was no password, no user name, no security features of any sort being used. If you want to use a real analogy, here's a better one. I drove along a country road, a public country road, that not many people drive along, and on the side of the road, there were some records. Jefferson Medical left those records there. I took pictures of them and hunted down Jefferson and told them their records were on the side of the road. There's no crime involved there. That's not hacking. That's simply them being negligent.""Gilchrist said and internal investigation is ongoing, and Jefferson Medical has already increase security in response to the breach.""More Information: http://www.wdam.com/story/32712941/security-flaw-may-be-responsible-for-...","Media"
"5519","""The computer network used by Democratic presidential candidate Hillary Clinton's campaign was hacked as part of a broad cyber attack on Democratic political organizations, people familiar with the matter told Reuters.The latest attack, which was disclosed to Reuters on Friday, follows reports of two other hacks on the Democratic National Committee and the party's fundraising committee for candidates for the U.S. House of Representatives.The U.S. Department of Justice national security division is investigating whether cyber hacking attacks on Democratic political organizations threatened U.S. security, sources familiar with the matter said on Friday.The involvement of the Justice Department's national security division is a sign that the Obama administration has concluded that the hacking was state sponsored, individuals with knowledge of the investigation said.In a comment, the Clinton campaign said the data program maintained by the DNC and used by its campaign and other entities was accessed as part of the DNC hack. It added that its computer system has been under review by outside cyber security experts. To date, the outside experts have found no evidence that the campaign's internal systems have been compromised.""More Information: http://www.cnbc.com/2016/07/29/hackers-breached-clinton-campaign-compute...","Media"
"5520","""Disney Consumer Products and Interactive Media has confirmed a data breach that affected some users of its Playdom forums.A spokesperson for the business segment of the Walt Disney Company explains in a statement that security teams detected the incident back in July:“On July 12, 2016, we became aware that an unauthorized party gained access to the Playdom Forum servers. We immediately began investigating the incident and discovered that on July 9 and July 12, 2016, the unauthorized party acquired certain user information from the playdomforums.com site.“The information compromised included usernames, email addresses, passwords, and IP addresses of Playdom Forum users. More Information: http://www.tripwire.com/state-of-security/latest-security-news/disney-co...","Media"
"5521","""The top watchdogs in the House demanded to know Tuesday why a personal laptop taken from a federal building in Washington state was used to conduct child-support audits, especially because it and other stolen hard drives may have contained millions of names and Social Security numbers.The letter by the House government oversight panel's Republican chairman and senior Democrat to Health and Human Services Secretary Sylvia Burwell comes about a week after GOP investigators began looking into the breach in Olympia, Washington, which authorities say affected as many as five million people.""Your staff acknowledged that the use of personal equipment is a clear violation of HHS privacy and security policy,"" Utah Republican Jason Chaffetz and Maryland Democrat Elijah Cummings wrote in the letter obtained by The Associated Press. The break-ins occurred in early February at the federal Office of Child Support Enforcement.Chaffetz's committee has been critical of data breaches under the Obama administration, including when the U.S. Office of Personnel Management said last year hackers committed an unprecedented theft of private data for millions of federal workers.""More information: http://www.usnews.com/news/politics/articles/2016-04-05/senate-few-answe...","Media"
"5522","""Marin Medical Practice Concepts, a Novato company that provides medical billing and electronic medical records services to many Marin physicians, had its computer system hacked and paid a ransom to regain access to its own data. There is ""no evidence"" that any patient data were compromised, according to a company official.As a result of the security breach, many Marin doctorrs have been unable to access patients' electronic medical records for more than a week.""More Information: http://www.mercurynews.com/2016/08/05/marin-electronic-medical-record-sy...","Media"
"5523","""Personal information about members of two local health insurance companies has been breached in a data security incident involving an Albany firm.Newkirk Products Inc., an Albany company that prints identification cards for insurers, reported a cybersecurity incident that exposed information including names, mailing addresses and, in some cases, date of birth. Social Security numbers, medical information and financial account information was not breached.Newkirk makes insurance ID cards for Albany nonprofit insurer CDPHP and BlueShield of Northeastern New York, the Latham division of Buffalo's HealthNow New York Inc. More than half a million CDPHP members and 70,000 BlueShield members were affected by the data incident, according to the insurers.The data systems of the health insurers were not affected.""More Information: http://www.bizjournals.com/albany/news/2016/08/08/data-breach-at-albany-...","Media"
"5524","""Prosthetic and Orthotic Care (POC), an independent prosthetics and orthotics company serving disabled individuals in Southern Illinois and Eastern Missouri, has discovered that an unauthorized individual has stolen the protected health information of 23,015 patients.The cyberattack occurred in June 2016, although POC only became aware of the hacking incident on July 10. The hacker gained access to patient data by exploiting security flaw in a third party software system that had been purchased by POC. The attack was conducted by a hacker operating under the name – TheDarkOverlord – who was also responsible for the cyberattacks on Athens Orthopedic Clinic and Midwest Orthopedics Group, in addition to a hack of as of yet unnamed health insurer. In total, the records of over 9.5 million patients are understood to have been obtained by the hacker.According to a breach notice issued by POC, the stolen data include names, addresses and other contact information, internal ID numbers, billing amounts, appointment dates, and diagnostic codes. Some patients also had their Social Security number, date of birth, procedure photographs, health insurer’s names, and other identification information stolen.""The ""breach total number"" was included in the posting of the third party software vendor who was hacked and affected many medical clinics, practices and facilities. More Information: http://www.hipaajournal.com/hacker-steals-phi-23000-patients-prosthetic-...","Media"
"5525","""Approximately 655,000 patients of the Bon Secours Health System are being notified that their informaiton may have been compromised during an incident with a contractor in April.According to a release, R-C Healthcare Management, a company doing work for Bon Secours, inadvertently left files containing patient information accessible on the internet while attempting to adjust their network settings from April 18th to April 21st.""The information compromised included patient names, health insurer's name, health insurance identification number, social security number and limited clinical information. More Information: http://wtkr.com/2016/08/12/655000-bon-secours-patients-exposed-to-data-b...","Media"
"5526","""A hotel operator responsible for several high-profile hotels across the U.S. says it discovered a breach of its payment processing systems that may impact hotels in several states and The District of Columbia.In a statement Monday, HEI Hotels & Resorts says 20 hotels representing brands including Marriott, Starwood, Sheraton and Westin were impacted. HEI says they are working with law enforcement and financial institutions to address the breach. An outside forensic expert was also tapped to investigate the breach.""We are pleased to report that the incident has now been contained and individuals can safely use payment cards at our properties,"" reads a statement from HEI.According to HEI, ""unauthorized individuals"" installed malware on its payment processing systems at these properties that can capture payment card information at the point of purchase.""List of hotels affected: http://www.heihotels.com/list-of-propertiesMore Information: www.usatoday.com/story/tech/news/2016/08/15/major-hotel-operator-hit-dat...UPDATE (8/19/2016): ""All in all, 12 Starwood properties, 6 Marriott Properties and a single Hyatt hotel have been found to have been snagged in the breach. According to available data, the breach was active March 1, 2015 to June 21, 2016, with 14 of the hotels affected after Dec. 2, 2015, HEI said on its website on Friday.  IHG and Marriott have no comment on the breach at this point. According to HEI – customer names, account numbers, payment card expiration dates and verification codes are all likely to have been stolen.Affected properties include: Starwood’s Westin hotels in Minneapolis; Pasadena, California; Philadelphia; Snowmass, Colorado; Washington, D.C.; and Fort Lauderdale, Florida. Also affected were Starwood properties in Arlington, Virginia; Manchester Village, Vermont; San Francisco; Miami; and Nashville, Tennessee.The Marriott properties affected were in Boca Raton, Florida; Dallas-Fort Worth, Texas; Chicago; San Diego, California; and Minneapolis.""More Information: http://www.pymnts.com/news/security-and-risk/2016/hei-data-breach-starwo...","Media"
"5527","""The outdoor clothing and accessories retailer Eddie Bauer is the latest victim of point-of-sale malware to admit that its customers’ card details may have been stolen.Just days after hotel operator HEI said 20 of its hotels had been infected, Eddie Bauer said its 350-or-so stores in the U.S. and Canada had also been the victim of a malware attack.Cleaning up the mess won’t be cheap—Eddie Bauer said Thursday that it had arranged for all customers who made purchases and returns during this period to get free identity protection services from Kroll for the next year.""More Information: http://fortune.com/2016/08/19/eddie-bauer-data-breach/","Media"
"5528","""Epic Games has temporarily shut down some of its user forums for maintenance after data on about 808,000 accounts was stolen, marking the second data breach of the game maker in 13 months.The compromise involved several forums maintained by Epic Games, based in Cary, N.C., that center on games and developer tools.The most affected forums are Infinity Blade, UDK, Gears of War archives and those for previous Unreal Tournament games. Email addresses, hashed and salted passwords and data entered into forums were leaked.""More Information: http://www.bankinfosecurity.com/epic-games-forums-breached-again-a-9355","Media"
"5529","""Someone illegally accessed Kentucky Department of Fish and Wildlife Resources customer information, officials announced Thursday.The information included names, addresses, birth dates, last four digits of Social Security numbers and phone numbers and email addresses. No credit card numbers, full Social Security numbers, usernames or passwords were accessed, officials said.Fish and Wildlife officials ""acted immediately to fix the vulnerability"" after learning of it earlier this week, they said.The department is working with the Commonwealth Office of Technology and other states that had similar breaches to ensure the security of their web systems.Anyone with questions about their accounts with the department can call 800-858-1549.""More information: http://www.wcpo.com/news/state/state-kentucky/ky-fish-and-wildlife-data-...","Media"
"5530","""Tens of thousands of subscriber accounts for media company Infowars are being traded in the digital underground.Infowars,
 created by famed radio host and conspiracy theorist Alex Jones, 
produces radio, documentaries and written pieces. The dumped data 
relates to Prison Planet TV, which gives paying subscribers access to a 
variety of Infowars content. The data includes email addresses, 
usernames, and poorly hashed passwords.The administrator of 
breach notification site Databases.Land provided a copy of 100,223 
records to Motherboard for verification purposes. Vigilante.PW, another 
breach notification service, also has the Infowars dump listed on its 
site, and says the data comes from 2014. However, every record appears 
to have been included twice in the data, making the actual number of 
user accounts closer to 50,000.""More Information: http://motherboard.vice.com/read/infowars-accounts-hacked-prison-planet-...","Media"
"5531","""Eyewitness News has learned exclusively that the pile of papers contain extremely personal documents, including private medical information and social security numbers of students, documents that no one outside the school is supposed to see, but that were left fully exposed on the street for anyone to see.The papers were apparently left by workers at the Langston Hughes Young Explorers Academy, also called PS 236.They
 are from the 2007-2008 school year, but many contain up to date 
addresses and phone numbers of students and parents, and potentially 
embarrassing medical information along with social security numbers.""More Information: http://abc7ny.com/education/exclusive-student-records-found-discarded-in...","Media"
"5532","""Hackers have breached databases for election systems in Illinois and Arizona, according to state election systems in Illinois and Arizona, according to state election and law enforcement officials.In Illinois, hackers accessed a database for the Illinois Board of Elections, compromising up to 200,000 personal voter records according to Ken Menzel, General Counsel for the board.According to Matthew Roberts, director of communications for the Arizona secretary of state, in late May, Arizona officials took the statewide voting registration system offline after the FBI alerted the Arizona Department of Administration that there was a credible cyber threat to the voter registration system. Although the Washington Post reported that Roberts attributed the database breach directly to a Russian hacker, when pressed by CNN, he said that the Arizona secretary of state's office learned of Russian involvement from internal IT and cyber security staff.""The information compromised included names, addresses, sex and birthdays, plus voter's social security number or drivers' license numbers. The database that was compromised had information going back 10 years and most likely included outdated information which was never purged. More Information: http://www.cnn.com/2016/08/29/politics/hackers-breach-illinois-arizona-e...","Media"
"5533","""The New York State Office of Mental Health (OMH) recently announced that one of its facilities experienced a cybersecurity breach, which potentially exposed the records of research participants. Between April 28 and May 4 of this year, certain parts of New York State Psychiatric Institute’s system was accessed by unauthorized individuals, according to an online statement.The information may have included names, addresses, dates of birth, telephone numbers, and email addresses. Social Security numbers, driver’s license or state identification numbers, school, county, and coded health-related information from interviews or questionnaires may have been included in some cases.""","Media"
"5534","""The Hutton Hotel has sent an alert to cutomers about a possible data breach.This is pretty unsettling news for the tens of thousands of people who have stayed at the hotel over this nearly four-year period.The hotel is calling this a ""payment card security incident."" It's basically a breach of payment processing system and they say it could have affected guests who stayed there between Sept. 19, 2012, and April 16, 2015.This also affects anyone who made food and beverage purchases at the hotel from Sept. 19, 2012, to Jan. 15, 2015, and Aug. 12, 2015, to June 10, 2016.The release doesn't say if fraudulent charges have shown up on anyone's credit cards, but with nearly 250 rooms on the property, there are tens of thousands of credit cards that may have had information stolen.The hotel is asking past guests to keep an eye on their statements and report any fraudulent charges to their bank.""More Information: http://www.wsmv.com/story/33014980/hutton-hotel-warning-customers-about-...http://www.huttonhotel.com/notice/","Media"
"5535","""The user data appears to have been taken from the Brazzers forum, however many users used the same login details for the forum as they did for the main site, leaving many people exposed.The data leak is said to have included email addresses, usernames, and unencrypted passwords, which most websites typically encrypt or hash in case of leak scenarios. This means that users on the porn site who have used the same email address and password on other sites may be vulnerable to attacks elsewhere.“Problem with a hack like that is it’s a *forum*. Worse than just adult website creds, this is what people were talking / fantasising about,” said security researcher Troy Hunt on Twitter, highlighting the fact that users’ specific sexual fetishes and fantasies could now be leaked into the open.The leak, which actually happened in 2013 but has only just been discovered, was reportedly due to the forum’s vBulletin software.Brazzers confirmed vBulletin to be the cause of the vulnerability and is currently taking “corrective measures” to protect its users and their information from cyber criminals."" ","Media"
"5536","Fuzzy Taco Shop notified customers of a data breach when hackers used a combination of social engineering and computer malware.Detectives working on the case stated that hackers spoofed an email from an employee who worked at the restaurant. The hackers posed as this employee who worked in the IT department, sent an email to the manager of the restaurant instructing the manager to download a program on a specific computer that was linked to the point of sale system the restaurant used. The program was malware.The information compromised included credit card information of customers who ate at the restaurant between July1 and September 1, 2016.More Information:  http://www.ktxs.com/news/abilene-police-reveal-details-of-restaurant-cre...","Media"
"5537","""For one week in late April and early May, a hacker (or hackers) got 
into servers that held information provided by 22,000 people for 11 
mental health studies being done at the New York State Psychiatric 
Institute.These were not patients being treated at the institute, but subjects of its research.They
 included, among others, school children directly exposed to the events 
of Sept. 11; Puerto Rican youth; severely emotional disturbed young 
people in Westchester County and their caretakers; people in the Bronx 
suffering from post-traumatic stress who have family in the criminal 
justice system; students at three schools in Queens and four others in 
Washington Heights, Manhattan, whose mental health needs were being 
assessed.It was a hack with different fingers, infiltrating two 
servers operated by the State of New York and plucking out information 
of varying calibers. For about 9,000 people, it captured the kind of 
data that is sold to identity thieves, like names, addresses and so 
forth.""More Information: http://www.nytimes.com/2016/09/14/nyregion/a-computer-breach-that-could-...","Media"
"5538","""The World Anti-Doping Agency (WADA) confirmed in a statement posted on Tuesday that its database, which included medical files of athletes competing in the Olympics, was hacked by the Russian group that cybersecurity companies have named “Fancy Bear.”“WADA deeply regrets this situation and is very conscious of the threat that it represents to athletes whose confidential information has been divulged through this criminal act,” Olivier Niggli, WADA’s executive director, said in the statement. “WADA condemns these ongoing cyber-attacks that are being carried out in an attempt to undermine WADA and the global anti-doping system.”More Information: https://www.buzzfeed.com/sheerafrenkel/simone-biles-serena-williams-amon... ","Media"
"5539","""ClixSense has become the victim of a cyberattack which has led to the data of millions of users being put up for sale.This week, ClixSense, a website which offers users cash in return for completing surveys and watching ads, admitted to a data breach in which an attacker was able to gain access to the firm's database.The unknown attacker was able to use an old server which the company was no longer using -- but was, at the time, still networked -- to gain access to the main database.After gaining entry, the cybercriminal was able to copy ""most, if not all"" of the ClixSense users table, changed account names to ""hacked account"" and deleted a number of forum posts -- as well as set user account balances to a zero balance.According to Ars Technica, Have I Been Pwned operator Troy Hunt verified the leak, in which account passwords in plaintext, user dates of birth, IP addresses, email addresses, account balances, and payment histories are all included in the file dump.In total, 2.2 million records have been published, leaving the data of an additional 4.4 million up for grabs to the highest bidder.""More Information: http://www.zdnet.com/article/clixsense-data-breach-exposes-personal-info...","Media"
"5540","""More than 130 Cicis Pizza locations, including Waco’s at 1609 N. Valley Mills Drive, Bellmead’s at 910 North Loop 340, Suite 4, and Killeen’s at South Fort Hood Street, have suffered a security breach that could compromise information on payment cards used at the stores, the company announced Monday.Cards used between March 1 and July 5 at the three locations in the area were vulnerable.Malware was found on the restaurants’ point-of-sale computer software, according to a statement from the company..""More Information: http://www.wacotrib.com/news/business/credit-card-security-breached-at-l...","Media"
"5541","""Yahoo is poised to confirm a massive data breach of its 
service, according to several sources close to the situation. The 
company was the victim of hacking that has exposed several hundred 
million user accounts. 
While sources were unspecific about the extent of the 
incursion, since there is the likelihood of government investigations 
and legal action related to the breach, they noted that it is widespread
 and serious. 
Earlier this summer, Yahoo said it was investigating a 
data breach in which hackers claimed to have access to 200 million user 
accounts and one was selling them online.""More Information: http://www.recode.net/2016/9/22/13012836/yahoo-is-expected-to-confirm-ma...Yahoo statement: https://help.yahoo.com/kb/account/SLN27925.html?impressions=trueUpdate (12/14/2016): ""Yahoo Inc (YHOO.O) warned on Wednesday that it had uncovered yet another massive cyber attack, saying data from more than 1 billion user accounts was compromised in August 2013, making it the largest breach in history.The number of affected accounts was double the number implicated in 2014 breach that the internet company disclosed in September and blamed on hackers working on behalf of a government.""More information: http://www.reuters.com/article/us-yahoo-cyber-idUSKBN1432WZYahoo statement: https://help.yahoo.com/kb/account/SLN27925.html?impressions=true","Media"
"5542","""Federal investigators say two women orchestrated an identity theft ring that targeted at least 20 people. But it's how suspects Jamila Williams-Stevenson and Loretta Coburn are said to have gotten some of their victim's personal information that is most shocking.Authorities said several of the alleged victims had been patients at Yale-New Haven Hospital where Williams-Stevenson was working as a companion or sitter.""""According to a court affidavit, once the two changed their alleged victims addresses, they took control of their mail, then took control of their finances.""More Information: http://www.nbcconnecticut.com/troubleshooters/Hospital-Patients-Caught-i...","Media"
"5543","""The Seattle Indian Health Board experienced a security attack to an employee email account on August 10, 2016. Access to the account lasted approximately 4 hours before the Seattle Indian Health Board IT department shut down the email system. The information accessed may or may not have included patients’ names, date of birth, patient ID numbers, social security numbers or other protected health information. The security of patient data is extremely important to us and we are taking this attack seriously as well as informing our patients directly and notifying the public about this incident.""More Information: http://www.sihb.org/current/?id=135","Media"
"5544","""In June 2016, the official website of Evony gaming suffered a massive data breach in which 33,407,472 of its registered user accounts were stolen.  Things couldn't go worse when in August 2016, the gaming site suffered another data breach on its forum in which 938,000 of its registered accounts were stolen. ""The information compromised included usernames, email addresses, passwords and IP addresses.More Information: https://www.hackread.com/evony-gaming-company-website-hacked/","Media"
"5545","""Weebly, a San Francisco-based company that has allowed more than 40 million people create websites with since 2007; will start sending notification letters to all of their customers on Thursday, informing them of a data breach that occurred eight months ago.The breach, affecting 43,430,316 customers, happened February 2016, but the root cause remains unknown. The compromised database is just now coming to the public's attention after an anonymous source sent it to LeakedSource.""The information compromised included email addresses, usernames, IP addresses and passwords. More Information: http://www.csoonline.com/article/3133031/security/weebly-data-breach-aff...","Media"
"5546","""The data breach notification LeakedSource has revealed that the web design platform Weebly and FourSquare, a local search-and-discovery service mobile app suffered a data breach.  As a result, 43,430,316 Weebly and 22,534,984 FourSquare users accounts were stolen.""""The NewYork-based company FourSquare suffered a security breach in December 2013 in which 22,534,984 user accounts were stolen however FourSquare has denied that it was hacked and claims that email addresses were simply cross-referenced with publicly available data from FourSquare. The data includes usernames, emails and Twitter and Facebook IDs""More Information: https://www.hackread.com/weebly-foursquare-hacked-accounts-stolen/ ","Media"
"5547","""About 13,000 patients of Baystate Health may have had some of their personal information compromised, due to a “phishing” e-mail that was received by some staff members.According to a Baystate Health news release sent to 22News, the information may have included names and dates of birth, in addition to medical information, such as diagnoses and the type of treatment the patient received, and even perhaps health insurance identification numbers. Social Security numbers and billing information were definitely not compromised, Baystate says.Baystate Health learned about the phishing e-mail on August 22. The e-mail, which was sent to several employees- five of whom replied to it- was designed to look like a legitimate internal memo. By responding to the e-mail, those five employees potentially had their accounts accessed by hackers.""More Information: http://wwlp.com/2016/10/21/baystate-health-patient-information-possibly-...","Media"
"5548","""A hospital representative said some boxes were misplaced while moving boxes of patient files from one storage unit to another.In a release, the hospital said, “While transferring boxes from our storage vendor, Access, to another one of our storage vendors, Iron Mountain, we discovered on or about Aug. 17, 2016, boxes containing patient information were inadvertently misplaced.” Hospital officials said they believe the boxes are “most likely located in either Access or Iron Mountain’s secure facility.”More Information: http://www.wftv.com/news/local/boxes-of-patient-information-missing-from...","Media"
"5549","""Great America PAC on Thursday night erroneously published the credit card numbers and expiration dates belonging to 49 donors, a Center for Public Integrity review of its latest Federal Election Commission campaign finance disclosure discovered.The screw-up comes one month after the super PAC, which aims to “help grow the burgeoning movement behind Donald Trump and merge the grassroots with the business community,” mistakenly revealed the personal cell phone numbers and/or email addresses of 336 of its donors.Great America PAC treasurer Dan Backer, upon being informed by the Center for Public Integrity of his organization’s mistake, said the likely culprit is “an isolated software glitch in an otherwise automated process” involving data transfers between the PAC and a contractor that helps manage the group’s finances.""More Information: https://www.publicintegrity.org/2016/10/21/20370/whoops-pro-donald-trump...","Media"
"5550","""The city said Friday that computer hackers gained access to personal information of people who had contact with the Middletown Police Department. While an investigation has found no evidence of fraudulent misuse of personal information, the city of notifying those potentially affected by the breach and offering them free credit-monitoring and identity-restoration service.The FBI notified the city on June 15 that it discovered that part of the city's computer network might have been compromised.An investigation by the city, the FBI, state police, the state Office of Information Technology Services and forensics experts found one or more unauthorized people gained access to the database and were able to export at least a portion of the information.The potentially accessible data includes names, Social Security numbers, driver's license numbers, dates of birth fingerprints and addresses.  The investigation found no evidence the information was publicly displayed or distributed, and the city is unaware of any fraudulent misuse of personal data.""More Information: http://www.recordonline.com/news/20161021/hackers-breach-city-of-middlet...  ","Media"
"5551","""A U.S. bank regulator on Friday disclosed a data breach involving a former agency employee’s unauthorized removal of more than 10,000 records. The cybersecurity breach at the Office of the Comptroller of the Currency was detected in September while the agency was undertaking a retrospective two-year review of employees downloading information in an effort to help minimize cyberthreats. The breach, flagged to Congress and three other government agencies including the Department of Homeland Security, occurred in November 2015 when a former employee downloaded a large number of files onto two thumb drives before retiring from the agency. The OCC said data on the thumb drives were encrypted and there is no evidence that data taken by the employee were “disclosed” or “misused.”An OCC spokesman said the files included information “related to OCC activities and employees.” He said there is “no indication that there was bank customer information among the files removed.”The agency said that once it discovered the data breach, it immediately referred the case to the Treasury Department’s Inspector General’s office. The OCC review concluded it was a “major incident,” involving more than 10,000 records and potentially exposing personal information. The former employee was identified only as a retiree who downloaded the information shortly before leaving the agency. Government agencies are required to report all “major incidents” to Congress; this is the first time the OCC has done so. The OCC said the data breach hasn’t “adversely affected” the agency’s internal operations.""More Information: http://www.wsj.com/articles/u-s-bank-regulator-notifies-congress-of-majo... ","Media"
"5552","""An Arizona man was arrested last Wednesday after hacking into more than 1,000 student email accounts here at Pace, just in time for cybersecurity awareness month.Jonathan Powell broke into 1,035 student emails and social media accounts between October 2015 and September 2016 in search of lewd and “embarrassing” content, using keywords such as “naked” and “horny,” according to the U.S. Attorney for the Southern District of New York and Executive Director of Media Relations, Scott Trent.According to a statement provided by the university:“In response to a potential information security breach, Pace launched an internal investigation and immediately brought in the cybersecurity forensics team it has on-call under an existing agreement. When it was determined the incident had originated outside the University and the perpetrator had also possibly compromised external, non-Pace social media accounts, the University contacted the Federal Bureau of Investigation and US Attorney’s Office. As a result of the efforts of the FBI and the US Attorney’s Office, the individual responsible has been identified and arrested.”More Information: http://pacechronicle.com/news/2016/11/08/man-arrested-for-hacking-more-t...","Media"
"5553","""If you bought a car in the last few years, there's a good chance your personal information may have found its way to the open internet.Names, addresses, phone numbers, and social security numbers for both customers and employees for over a hundred car dealerships have leaked online, all thanks to a centralized records system coupled with shoddy security.The system, built and operated by DealerBuilt, an Iowa-based database software company, sells management systems for car dealerships across the US, offering a central system for sales, customer relations, and employee payroll needs.""More Information: http://www.zdnet.com/article/bought-a-car-recently-millions-of-customers...","Media"
"5554","""A hack against popular adult dating and entertainment company FriendFinder Networks exposed data related to more than 412 million user accounts, according to a report from breach notification site LeakedSource. If the report is correct, that would make the breach one of the largest on record in terms of the number of accounts affected. It also would mark the second such incident at the company in two years.FriendFinder Networks did not confirm or deny the breach when reached by The Washington Post. But the company said in a statement that it had “received a number of reports regarding potential security vulnerabilities from a variety of sources” and that it is investigating. ""Immediately upon learning this information, we took several steps to review the situation and bring in the right external partners to support our investigation,"" the statement said.The Adult FriendFinder data stretched back 20 years and included information such as usernames, emails, join dates and the date of a user’s last visit, according to LeakedSource. Passwords were also included in the trove -- the vast majority of them featured unsecured protections or none at all, the report said.LeakedSource said the alleged breach includes nearly 340 million accounts from flagship site Adult FriendFinder, plus data from other sites owned by FriendFinder Network, including Cams.com, as well as records from Penthouse.com, which was sold in February. The cache may also include 15 million email addresses connected to deleted accounts, according to LeakedSource.""More Information: https://www.washingtonpost.com/news/the-switch/wp/2016/11/14/adult-frien...","Media"
"5555","""Michigan State University is confirming that someone breached a database that contains around 400,000 records containing personal information. The breached happened on November 13.According to MSU, that information ""included names, Social Security numbers, MSU identification numbers, and in some cases, date of birth of some current and former students and employees. It did not contain passwords, financial, academic, contact, gift or health information.""MSU says they have confirmed that 449 of records were accessed, before the records were taken offline within 24 hours of breach.""More information: http://www.wxyz.com/news/michigan-state-university-confirms-data-breach-...","Media"
"5556","""A recent report from the Treasury Inspector General for Tax Administration (TIGTA) found that IRS employees sent unencrypted emails which contained 8,031 different taxpayers’ personally identifiable information. According to the report, TIGTA found 326 unencrypted emails containing taxpayer data. 275 of the emails were sent internally within IRS, while 51 emails were sent outside of the agency’s network to non-IRS email accounts. Of those emails sent externally, 20 were sent to six IRS employees’ personal email accounts. The significance of where the emails were sent is relevant to the level of the security risk to the taxpayer data. The report noted that unencrypted emails sent within the IRS internal network were of lower risk because they remained behind the agency’s firewalls which greatly lowers the probability they could be accessed by a third party. However, the emails sent outside of the agency were exposed to greater risk, not only because they were not encrypted, but because they no longer had the protection afforded by the firewall. Additionally, for the emails sent to personal accounts, the report noted that per IRS policy, no officer or employee of the IRS may use a personal email account to conduct official business. 326 emails containing 8,031 different taxpayers’ data may not sound like much, but TIGTA had this to say about their findings"" - See more at: http://www.fedsmith.com/2016/11/20/ig-irs-employees-sent-unencrypted-ema...More information: http://www.fedsmith.com/2016/11/20/ig-irs-employees-sent-unencrypted-ema...","Media"
"5557","""The personal data of more than 130,000 sailors in a re-enlistment 
approval database was stolen from a contractor’s laptop, the Navy 
disclosed Wednesday.
 The Navy was notified in October by Hewlett Packard
 Enterprise Services
 that a computer supporting a
 Navy contract was “compromised,” and that the names and social security
 numbers of 134,386 current and former sailors were accessed by unknown 
persons, the service said in a news release.
 The Naval Criminal Investigative Service is in the early stages of 
investigating the breach, but in a release said it hasn’t found any 
malicious use of the data yet. 
 “The Navy takes this incident extremely seriously -- this is a 
matter of trust for our sailors,"" said Navy personnel boss Vice Adm. 
Robert Burke in a statement. ""We are in the early stages of 
investigating and are working quickly to identify and take care of those
 affected by this breach.""
 A Navy official familiar with the investigation said the personal 
data came from the Career Waypoints database, known as C-WAY, which 
sailors use to submit re-enlistment and requests to change Navy 
Occupational Specialties.""More information: https://www.navytimes.com/articles/data-breach-exposes-more-than-100-000...","Media"
